Labels,Total,Train support,,percentage accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nmod,698,5202,0.657593123209169,65.76,nmod-459,nmod_adj-64,pof_cn-31,r6-18,ccof-16,jjmod-13,k1 -13,k7 - 11,rs-10,k7t-10,k7p-10,k2 - 8,k5 - 5,nmod_relc-5,nmod_k1inv-4,lwg_psp-3,ras-k1 - 3,k4 - 2,vmod-2,rsp-1,rt-1,mod_wq-1,k2s-1,lwg_rp-1,nmod_emph-1,k3 - 1,adv-1,pof-1,rbmod_relc-1,main-1,,
nmod__adj,3017,24405,0.918462048392443,91.85,nmod_adj-2771,pof_cn-144,nmod-34,mod-15,k1 - 14,ccof-10,jjmod_intf-7,lwg_psp-7,k2 - 4,jjmod-2,r6 - 2,k5 - 1,nmod_k1inv-1,vmod-1,r6-k2 - 1,adv-1,pof-1,k7p-1,,,,,,,,,,,,,,
nmod__emph,5,43,0.8,80,nmod__emph - 4,k1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nmod__k1inv,105,1171,0.847619047619048,84.76,nmod__k1inv - 89,nmod-k2inv - 6,vmod-4,nmod_adj -3,nmod - 1,lwg_psp -1,k7t -1,,,,,,,,,,,,,,,,,,,,,,,,,
nmod__k2inv,47,343,0.212765957446808,21.28,nmod_k2inv-10,nmod_k1inv-30,nmod-2,lwg_psp-1,vmod-1,pof-1,ras=k1 -1,nmod_adj-1,,,,,,,,,,,,,,,,,,,,,,,,
nmod__pofinv,3,16,1,100,nmod_k1inv - 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nmod__relc,129,1025,0.906976744186046,90.7,nmod_relc=117,ccof-6,k2 - 1,k1s-1,vmod-1,lwg_vaux-1,rbmod_relc-1,main-1,,,,,,,,,,,,,,,,,,,,,,,,
pk1,0,8,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pof,1508,11585,0.887931034482759,88.79,pof-1339,k2 - 59,k1-42,k1s-33,k7p-9,k2s-7,ccof-3,adv-3,lwg_psp-2,r6 - 2,k7 - 2,k4 - 1,vmod-1,k2p-1,r6-k2 - 1,k7-t -1,nmod_adj-1,main-1,,,,,,,,,,,,,,
pof__cn,2701,19067,0.915586819696409,91.56,pof_cn-2473,nmod-adj-139,ccof-14,lwg_psp-12,k1 - 12,mod-11,nmod-10,k2 - 9,r6 - 6,k7p-4,nmod_k1inv-2,,k2s-1,lwg_rp-1,k3 - 1,rs-1,r6-k2 -1,pof-1,jjmod-1,pof-redup-1,k7 - 1,,,,,,,,,,,
pof__inv,1,Not in training data,0,0,nmod_k1inv-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pof__redup,18,201,0.944444444444444,94.44,pof_redup-17,mod_wq-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
psp__cl,0,8,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r6,2287,16337,0.937035417577613,93.7,r6 - 2143,r6-k2 - 70,ccof-23,r6-k1 - 11,k1 - 8,nmod-8,k7 - 4,rh-4,k2 - 3,pof-4,lwg_psp-1,rt-1,k4 - 1,vmod-1,rs-1,k7t-1,rd-1 ,pof_cn-1,jjmod-1,k7p -1,nmod_adj-1,,,,,,,,,,,
r6-k1,28,520,0.321428571428571,32.14,r6-k1 - 9,r6 - 17,ras-neg-1,r6-k2 -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r6-k2,277,2396,0.862815884476534,86.28,r6-k2 - 239,r6 - 25,r6-k1 - 4,ccof-4,k1 - 2,lwg_psp-1,vmod-1,main-1,,,,,,,,,,,,,,,,,,,,,,,,
r6v,1,27,0,0,r6 - 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rad,0,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ras__k7,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ras-k1,70,706,0.742857142857143,74.29,ras-k1 - 52,vmod-5,k2 - 4,ras-k2 - 4,rh-2,k5 -2,k5- 2,k4 - 1,,,,,,,,,,,,,,,,,,,,,,,,
